CODE;COUNTRY;SUB-CHAPTER;TITLE;UNIT;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
LUX.1.0.0.0.UDGG;Luxembourg;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-LUF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.54;1.60;1.64;1.65;1.66;1.72;1.82;1.86;1.95;2.21;2.41;2.81;3.05;5.86;5.97;8.10;8.20;9.70;11.01;11.33;11.45;11.02;12.69;12.57;13.96;15.87;17.73;18.82;21.20;22.60                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
HUN.1.0.0.0.UDGG;Hungary;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd HUF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4911.0;5087.8;5506.5;6319.8;7029.5;7422.2;8046.3;9689.6;11116.4;12422.7;13674.1;15685.0;16873.9;19553.7;20694.7;21989.9;22927.1;22662.2;23431.2;25109.4;26489.8;27100.8;28322.5;29970.7;31139.2;38388.7;42351.5;48476.1;52556.4;56526.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MLT.1.0.0.0.UDGG;Malta;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-MTL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.04;1.24;1.58;1.84;2.36;2.52;2.78;2.85;3.29;3.49;3.61;3.47;3.58;3.84;4.15;4.46;4.85;4.91;5.28;5.43;5.62;5.77;5.71;5.66;5.72;6.97;8.27;9.35;10.44;11.26                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NLD.1.0.0.0.UDGG;Netherlands;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-NLG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;241.0;246.0;242.9;247.2;245.8;235.5;238.4;244.6;256.4;266.3;274.2;264.1;266.2;354.0;354.7;378.7;401.2;432.4;447.0;455.8;446.0;438.4;420.3;405.8;394.7;435.5;449.0;466.3;513.0;550.9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AUT.1.0.0.0.UDGG;Austria;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-ATS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;120.7;124.6;119.8;125.4;135.9;141.2;147.2;151.3;152.7;158.0;174.4;180.3;184.7;201.8;230.0;244.7;255.7;261.0;263.2;280.0;292.3;296.2;290.0;285.4;280.5;316.0;334.2;353.7;366.5;375.6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
POL.1.0.0.0.UDGG;Poland;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd PLN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;164.0;182.9;220.7;232.9;262.4;272.3;291.2;338.7;394.5;420.9;461.6;505.5;528.4;600.8;683.6;774.7;856.6;883.5;931.1;873.9;923.4;1010.0;1007.2;1035.8;1046.0;1336.6;1410.5;1580.2;1808.2;1997.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PRT.1.0.0.0.UDGG;Portugal;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-PTE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55.4;59.7;60.1;61.9;66.3;69.6;77.9;85.6;93.3;102.2;114.6;122.5;127.6;135.5;154.0;180.0;201.5;217.2;224.1;230.1;235.7;245.2;247.2;249.3;250.0;270.5;269.2;274.4;273.6;275.4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ROM.1.0.0.0.UDGG;Romania;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd RON;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5;1.2;3.8;6.2;12.0;18.2;30.4;37.8;42.4;46.4;45.6;42.6;50.9;66.6;115.6;156.5;190.0;219.8;238.9;262.2;269.2;285.0;300.8;330.5;373.5;499.9;577.5;667.4;738.5;820.6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SVN.1.0.0.0.UDGG;Slovenia;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-SIT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.93;2.62;3.05;3.49;4.08;4.89;5.51;6.44;6.86;7.43;7.69;8.20;8.01;8.26;12.52;13.92;17.22;19.42;25.52;30.22;32.09;31.76;31.89;32.25;31.75;37.42;38.88;41.35;44.07;45.90                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SVK.1.0.0.0.UDGG;Slovakia;01 Based on ESA 2010;General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010) ;Mrd EURO-SKK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.27;6.75;8.07;9.05;13.45;15.97;17.57;16.91;17.94;19.26;17.53;17.71;19.17;19.62;23.31;27.93;30.98;38.10;40.74;40.84;41.41;42.48;43.57;44.41;45.31;55.02;61.27;64.31;69.81;74.71                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
